Lake,Assessment,year,inches,sex,age,pounds
Escanaba,Spring Fyke Net,2011,14.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.4,1,NA,NA
Escanaba,Spring Fyke Net,2011,15,1,NA,NA
Escanaba,Spring Fyke Net,2011,17.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,22,2,12,2.88
Escanaba,Spring Fyke Net,2011,14.9,1,6,1
Escanaba,Spring Fyke Net,2011,18,2,8,1.75
Escanaba,Spring Fyke Net,2011,20.9,2,10,2.75
Escanaba,Spring Fyke Net,2011,21.2,2,10,3
Escanaba,Spring Fyke Net,2011,13.2,1,4,0.56
Escanaba,Spring Fyke Net,2011,16.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.5,2,9,3
Escanaba,Spring Fyke Net,2011,15.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,13.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,16.8,1,12,1.38
Escanaba,Spring Fyke Net,2011,14.5,2,6,1
Escanaba,Spring Fyke Net,2011,20,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.7,1,9,1.56
Escanaba,Spring Fyke Net,2011,17.2,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,19,2,9,2.13
Escanaba,Spring Fyke Net,2011,14.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.6,1,NA,NA
Escanaba,Spring Fyke Net,2011,15.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,19,2,10,2
Escanaba,Spring Fyke Net,2011,20.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,13.2,1,4,0.75
Escanaba,Spring Fyke Net,2011,20.2,2,10,3.06
Escanaba,Spring Fyke Net,2011,17.3,1,10,1.44
Escanaba,Spring Fyke Net,2011,15.4,1,6,1.13
Escanaba,Spring Fyke Net,2011,17,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.3,2,8,1.31
Escanaba,Spring Fyke Net,2011,16.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.4,1,9,1.5
Escanaba,Spring Fyke Net,2011,13.9,1,4,0.56
